"Energy (MeV)" Frequency
6.815 9.83298e-06
6.825 7.37473e-06
6.835 7.37473e-06
6.845 5.7359e-06
6.855 4.91649e-06
6.865 9.01356e-06
6.875 4.91649e-06
6.885 1.06524e-05
6.895 4.09707e-06
6.905 9.83298e-06
6.915 1.14718e-05
6.925 4.91649e-06
6.935 1.63883e-05
6.945 1.31106e-05
6.955 1.06524e-05
6.965 4.91649e-06
6.975 7.37473e-06
6.985 6.55532e-06
6.995 5.7359e-06
7.005 6.55532e-06
7.015 9.01356e-06
7.025 6.55532e-06
7.035 5.7359e-06
7.045 1.06524e-05
7.055 6.55532e-06
7.065 5.7359e-06
7.075 9.83298e-06
7.085 8.19415e-06
7.095 2.45824e-06
7.105 7.37473e-06
7.115 1.06524e-05
7.125 5.7359e-06
7.135 4.09707e-06
7.145 2.45824e-06
7.155 7.37473e-06
7.165 4.91649e-06
7.175 5.7359e-06
7.185 5.7359e-06
7.195 7.37473e-06
7.205 4.91649e-06
7.215 4.91649e-06
7.225 6.55532e-06
7.235 5.7359e-06
7.245 3.27766e-06
7.255 4.09707e-06
7.265 5.7359e-06
7.275 4.91649e-06
7.285 9.01356e-06
7.295 4.91649e-06
7.305 4.09707e-06
7.315 4.09707e-06
7.325 4.09707e-06
7.335 4.91649e-06
7.345 6.55532e-06
7.355 1.63883e-06
7.365 3.27766e-06
7.375 4.91649e-06
7.385 5.7359e-06
7.395 1.63883e-06
7.405 4.09707e-06
7.415 4.91649e-06
7.425 4.09707e-06
7.435 2.45824e-06
7.445 9.01356e-06
7.455 2.45824e-06
7.465 8.19415e-06
7.475 2.45824e-06
7.485 7.37473e-06
7.495 8.19415e-07
7.505 8.19415e-07
7.515 3.27766e-06
7.525 4.91649e-06
7.535 2.45824e-06
7.545 2.45824e-06
7.555 4.91649e-06
7.565 3.27766e-06
7.575 6.55532e-06
7.585 2.45824e-06
7.595 5.7359e-06
7.605 5.7359e-06
7.615 4.91649e-06
7.625 8.19415e-07
7.635 2.45824e-06
7.645 4.91649e-06
7.655 5.7359e-06
7.665 3.27766e-06
7.675 3.27766e-06
7.685 4.09707e-06
7.695 3.27766e-06
7.705 8.19415e-06
7.715 2.45824e-06
7.725 2.45824e-06
7.735 4.09707e-06
7.745 2.45824e-06
7.755 4.91649e-06
7.765 2.45824e-06
7.775 3.27766e-06
7.785 8.19415e-07
7.795 2.45824e-06
7.805 2.45824e-06
7.815 0
7.825 3.27766e-06
7.835 2.45824e-06
7.845 3.27766e-06
7.855 1.63883e-06
7.865 1.63883e-06
7.875 3.27766e-06
7.885 8.19415e-07
7.895 3.27766e-06
7.905 6.55532e-06
7.915 1.63883e-06
7.925 0
7.935 4.91649e-06
7.945 1.63883e-06
7.955 8.19415e-07
7.965 0
7.975 8.19415e-07
7.985 3.27766e-06
7.995 4.09707e-06
8.005 2.45824e-06
8.015 2.45824e-06
8.025 2.45824e-06
8.035 4.91649e-06
8.045 1.63883e-06
8.055 3.27766e-06
8.065 8.19415e-07
8.075 1.63883e-06
8.085 8.19415e-07
8.095 1.63883e-06
8.105 3.27766e-06
8.115 2.45824e-06
8.125 4.09707e-06
8.135 1.63883e-06
8.145 3.27766e-06
8.155 1.63883e-06
8.165 8.19415e-07
8.175 1.63883e-06
8.185 8.19415e-07
8.195 8.19415e-07
8.205 2.45824e-06
8.215 2.45824e-06
8.225 8.19415e-07
8.235 8.19415e-07
8.245 4.09707e-06
8.255 1.63883e-06
8.265 8.19415e-07
8.275 2.45824e-06
8.285 1.63883e-06
8.295 1.63883e-06
8.305 0
8.315 8.19415e-07
8.325 1.63883e-06
8.335 1.63883e-06
8.345 0
8.355 2.45824e-06
8.365 8.19415e-07
8.375 1.63883e-06
8.385 1.63883e-06
8.395 0
8.405 0
8.415 0
8.425 1.63883e-06
8.435 8.19415e-07
8.445 8.19415e-07
8.455 1.63883e-06
8.465 1.63883e-06
8.475 8.19415e-07
8.485 1.63883e-06
8.495 0
8.505 1.63883e-06
8.515 8.19415e-07
8.525 2.45824e-06
8.535 3.27766e-06
8.545 0
8.555 1.63883e-06
8.565 2.45824e-06
8.575 8.19415e-07
8.585 2.45824e-06
8.595 1.63883e-06
8.605 8.19415e-07
8.615 8.19415e-07
8.625 0
8.635 3.27766e-06
8.645 8.19415e-07
8.655 1.63883e-06
8.665 1.63883e-06
8.675 8.19415e-07
8.685 8.19415e-07
8.695 0
8.705 1.63883e-06
8.715 8.19415e-07
8.725 1.63883e-06
8.735 1.63883e-06
8.745 8.19415e-07
8.755 8.19415e-07
8.765 8.19415e-07
8.775 8.19415e-07
8.785 8.19415e-07
8.795 1.63883e-06
8.805 1.63883e-06
8.815 1.63883e-06
8.825 8.19415e-07
8.835 0
8.845 0
8.855 8.19415e-07
8.865 8.19415e-07
8.875 8.19415e-07
8.885 8.19415e-07
8.895 8.19415e-07
8.905 8.19415e-07
8.915 2.45824e-06
8.925 3.27766e-06
8.935 1.63883e-06
8.945 0
8.955 0
8.965 0
8.975 0
8.985 8.19415e-07
8.995 8.19415e-07
9.005 8.19415e-07
9.015 8.19415e-07
9.025 8.19415e-07
9.035 0
9.045 0
9.055 0
9.065 8.19415e-07
9.075 0
9.085 1.63883e-06
9.095 2.45824e-06
9.105 0
9.115 0
9.125 8.19415e-07
9.135 8.19415e-07
9.145 1.63883e-06
9.155 8.19415e-07
9.165 8.19415e-07
9.175 0
9.185 8.19415e-07
9.195 0
9.205 8.19415e-07
9.215 0
9.225 8.19415e-07
9.235 8.19415e-07
9.245 8.19415e-07
9.255 0
9.265 8.19415e-07
9.275 0
9.285 8.19415e-07
9.295 0
9.305 0
9.315 8.19415e-07
9.325 0
9.335 1.63883e-06
9.345 8.19415e-07
9.355 1.63883e-06
9.365 0
9.375 8.19415e-07
9.385 0
9.395 0
9.405 0
9.415 0
9.425 0
9.435 0
9.445 8.19415e-07
9.455 0
9.465 0
9.475 0
9.485 2.45824e-06
9.495 8.19415e-07
9.505 0
9.515 0
9.525 0
9.535 8.19415e-07
9.545 8.19415e-07
9.555 0
9.565 8.19415e-07
9.575 0
9.585 0
9.595 8.19415e-07
9.605 8.19415e-07
9.615 0
9.625 0
9.635 8.19415e-07
9.645 0
9.655 0
9.665 0
9.675 0
9.685 8.19415e-07
9.695 0
9.705 0
9.715 0
9.725 1.63883e-06
9.735 0
9.745 8.19415e-07
9.755 8.19415e-07
9.765 8.19415e-07
9.775 0
9.785 0
9.795 8.19415e-07
9.805 0
9.815 8.19415e-07
9.825 0
9.835 0
9.845 0
9.855 0
9.865 0
9.875 0
9.885 0
9.895 0
9.905 0
9.915 0
9.925 0
9.935 0
9.945 0
9.955 0
9.965 0
9.975 0
9.985 0
9.995 0
10.005 0

